,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESPONSIBILITY,,,,,,,,,,,,,CAPABILITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,,,,,MULTICRITERIA
,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,Cumulative Gt CO2
AZE,,0.00,0.02,0.05,0.08,0.13,0.18,0.20,0.21,0.88,,,AZE,,0.00,0.01,0.03,0.05,0.08,0.11,0.13,0.14,0.56,,,AZE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,AZE,0.16
BHS,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.07,,,BHS,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,BHS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BHS,0.02
BHR,,0.00,0.02,0.04,0.08,0.13,0.18,0.21,0.22,0.88,,,BHR,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.07,0.27,,,BHR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BHR,0.11
BGD,,0.00,0.01,0.03,0.05,0.08,0.11,0.12,0.13,0.53,,,BGD,,0.00,0.03,0.06,0.11,0.18,0.24,0.29,0.31,1.22,,,BGD,,0.01,0.10,0.24,0.44,0.73,0.98,1.12,1.15,4.77,,,BGD,3.92
BRB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,BRB,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,BRB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BRB,0.01
BLR,,0.00,0.04,0.10,0.16,0.24,0.32,0.37,0.39,1.62,,,BLR,,0.00,0.01,0.03,0.05,0.09,0.12,0.14,0.15,0.59,,,BLR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,BLR,0.22
BEL,,0.01,0.10,0.24,0.41,0.68,0.93,1.10,1.20,4.66,,,BEL,,0.01,0.11,0.26,0.45,0.75,1.02,1.21,1.32,5.13,,,BEL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,BEL,1.15
BLZ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,BLZ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,BLZ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BLZ,0.00
BEN,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.12,,,BEN,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,BEN,,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.05,0.13,,,BEN,0.12
BTN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BTN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,BTN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BTN,0.00
BOL,,0.00,0.01,0.01,0.02,0.04,0.06,0.07,0.08,0.29,,,BOL,,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.05,0.21,,,BOL,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.04,,,BOL,0.08
BIH,,0.00,0.01,0.02,0.03,0.05,0.06,0.07,0.07,0.31,,,BIH,,0.00,0.00,0.01,0.02,0.03,0.04,0.04,0.05,0.18,,,BIH,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BIH,0.05
BWA,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,BWA,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.14,,,BWA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BWA,0.03
BRA,,0.02,0.16,0.36,0.62,0.99,1.32,1.49,1.53,6.48,,,BRA,,0.05,0.51,1.19,2.07,3.41,4.68,5.53,6.01,23.45,,,BRA,,0.02,0.15,0.35,0.59,0.94,1.24,1.37,1.38,6.04,,,BRA,8.74
BRN,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,BRN,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.15,,,BRN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BRN,0.03
BGR,,0.00,0.02,0.04,0.07,0.10,0.12,0.14,0.14,0.63,,,BGR,,0.00,0.01,0.03,0.05,0.08,0.11,0.13,0.14,0.54,,,BGR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,BGR,0.13
BFA,,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.08,,,BFA,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.10,,,BFA,,0.00,0.00,0.01,0.02,0.04,0.08,0.12,0.17,0.44,,,BFA,0.36
BDI,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,BDI,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,BDI,,0.00,0.00,0.00,0.01,0.02,0.03,0.05,0.07,0.17,,,BDI,0.14
CPV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,CPV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,CPV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,CPV,0.00
KHM,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,KHM,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.12,,,KHM,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.06,,,KHM,0.07
CMR,,0.00,0.00,0.01,0.02,0.04,0.06,0.08,0.09,0.29,,,CMR,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.06,0.25,,,CMR,,0.00,0.00,0.01,0.02,0.05,0.10,0.15,0.21,0.56,,,CMR,0.49
