,RESPONSIBILITY,,,,,,,,,,,,,CAPACITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,
TCD,0,0.06,0.65,1.51,2.61,4.32,5.92,7,7.6,0.03,,,TCD,0,0.5,4.12,8.29,11.63,16.09,18.83,19.31,18.61,0.1,,,TCD,0.00,3.18,37.64,99.37,201.64,380.86,585.11,765.15,902.94,2.98
CHL,0,6.27,62.74,146.39,253.04,418.25,573,677.56,736.12,2.87,,,CHL,0,9.06,89.83,208.47,358.6,592.02,812.38,966.34,1061.54,4.1,,,CHL,0.00,3.61,35.14,79.95,132.64,210.12,275.57,311.07,322.40,1.37
CHN,0,4.43,44.28,103.33,178.61,295.23,404.46,478.27,519.6,2.03,,,CHN,0,3.29,34.16,82.35,149.81,260.97,376.35,467.29,529.98,1.9,,,CHN,0.00,278.60,2592.60,5681.64,8914.27,13385.84,16703.00,18057.49,18120.58,83.73
COL,0,2.6,25.97,60.61,104.76,173.16,237.23,280.52,304.76,1.19,,,COL,0,4.4,43.78,102.25,178.19,298.73,416.93,505.7,567.23,2.12,,,COL,0.00,9.82,95.14,215.07,352.25,549.55,708.68,784.60,796.42,3.51
COM,0,0.26,2.62,6.11,10.56,17.46,23.92,28.29,30.73,0.12,,,COM,0,0.47,4.11,8.67,13,19.01,23.36,25.06,25.12,0.12,,,COM,0.00,0.17,1.87,4.70,8.94,15.99,23.41,29.28,33.24,0.12
COG,0,1.18,11.81,27.56,47.64,78.75,107.89,127.58,138.6,0.54,,,COG,0,0.1,0.83,1.64,2.25,3.06,3.54,3.59,3.44,0.02,,,COG,0.00,17.50,210.89,566.66,1175.74,2257.21,3510.76,4635.89,5509.42,17.88
CRI,0,1.72,17.24,40.23,69.54,114.95,157.48,186.22,202.31,0.79,,,CRI,0,5.68,55.84,128.94,220.72,364.03,500.92,600.15,666.44,2.54,,,CRI,0.00,0.99,9.68,22.14,36.92,58.54,76.57,85.83,88.00,0.38
CIV,0,0.57,5.7,13.3,22.98,37.99,52.05,61.54,66.86,0.26,,,CIV,0,0.73,6.17,12.56,17.77,24.5,28.37,28.6,26.96,0.15,,,CIV,0.00,5.12,58.65,152.83,308.14,584.47,907.74,1207.33,1456.69,4.68
HRV,0,6.8,67.97,158.6,274.15,453.14,620.81,734.09,797.53,3.11,,,HRV,0,11.15,122.82,305.54,572.99,1012.36,1469.81,1833.89,2087.94,7.42,,,HRV,0.00,0.80,7.06,15.00,22.82,33.76,41.84,45.01,44.99,0.21
CUB,0,5.56,55.57,129.67,224.14,370.48,507.55,600.17,652.04,2.55,,,CUB,0,4.31,45.1,109.1,199.01,347.65,503.31,624.38,704.98,2.54,,,CUB,0.00,2.25,20.71,45.22,70.76,105.97,131.72,142.48,143.63,0.66
CYP,0,8.34,83.4,194.59,336.37,555.98,761.69,900.69,978.52,3.82,,,CYP,0,16.29,161.64,373.29,634.43,1034.17,1403.41,1652.46,1797.04,7.07,,,CYP,0.00,0.24,2.29,5.25,8.81,14.13,18.74,21.37,22.37,0.09
CZE,0,39.11,391.08,912.53,1577.37,2607.22,3571.89,4223.7,4588.71,17.91,,,CZE,0,14.98,158.34,384.62,694.04,1180.23,1661,2005.77,2191.14,8.29,,,CZE,0.00,2.08,18.98,41.29,65.26,100.35,128.33,142.64,148.61,0.65
COD,0,0.2,1.99,4.64,8.02,13.25,18.15,21.46,23.32,0.09,,,COD,0,2.78,23.22,46.82,65.59,89.99,103.76,104.15,97.86,0.53,,,COD,0.00,1.11,12.86,33.87,68.90,131.25,204.74,273.55,331.06,1.06
DNK,0,21.08,210.79,491.84,850.18,1405.26,1925.2,2276.52,2473.25,9.65,,,DNK,0,42.74,432.43,1011.74,1743.44,2839.86,3794.09,4349.11,4588.07,18.8,,,DNK,0.00,1.13,10.81,24.38,40.38,64.83,87.33,102.29,110.39,0.44
DJI,0,1.66,16.64,38.82,67.11,110.92,151.96,179.69,195.22,0.76,,,DJI,0,0.82,7.69,17.19,28.26,45.18,60.67,71.28,77.73,0.31,,,DJI,0.00,0.20,2.01,4.76,8.25,13.50,18.10,20.68,21.59,0.09
DMA,0,1.27,12.65,29.52,51.03,84.35,115.56,136.65,148.46,0.58,,,DMA,0,5.06,51.47,122.37,217.51,370.16,525.51,649.71,744.73,2.69,,,DMA,0.00,0.01,0.14,0.31,0.50,0.76,0.97,1.05,1.04,0.00
